154 mishari_alafasy 17634 1 5011 10
155 Carles5puyol 2161 372 10988255 213
156 SethMacFarlane 7981 433 14417217 1
157 thalia 21360 1704 9680407 3668
158 MarcAnthony 6531 751 11202223 776
159 cesc4official 3482 159 9773121 116
160 50cent 13506 14 9841234 38
161 Pharrell 4415 1033 10807761 1473
162 joejonas 9950 1166 10179702 4294
163 BigSean 20436 2254 14500054 15678
164 5SOS 26857 31860 12314976 4726
165 azizansari 7622 -1 -1 -1
166 kobebryant 1437 388 13794579 39
167 davidbisbal 16623 774 10111206 17906
168 juniorbachchan 27219 388 13649531 365
169 Tatawerneck 10246 2048 10325132 2456
170 channingtatum 7049 306 8855533 518
171 Persie_Official 575 169 9485202 261
172 sonamakapoor 16267 791 11793977 9852
173 CodySimpson 33740 200312 8004897 1650
174 LuisFonsi 9326 504 9403536 2124
175 marcoluque 23705 374 9473063 3514
176 DavidLuiz_4 2325 199 8717428 205
177 GarethBale11 1334 113 16464976 46
178 JohnCena 5645 2499 11134490 6
179 EugenioDerbez 8671 728 9804018 4426
180 JColeNC 2574 404 10386195 89
181 elissakh 39873 300 13145285 10033
182 MirandaCosgrove 7011 13315 7813268 4
183 johnlegend 11890 842 12018835 8191
184 EvaLongoria 15666 816 7699607 129
185 salman_alodah 50303 381 14520109 1874
186 karanjohar 8568 462 14873409 144
187 Guaje7Villa 2181 641 8748731 3423
188 CherLloyd 5874 11150 7649726 595
189 JessicaSimpson 1906 239 7294329 104
190 NancyAjram 16641 92 13005615 4875
191 SpiderAnderson 3827 474 8101508 32
192 montanertwiter 50050 370 9007938 428
193 LittleMix 30356 30717 11580168 5234
194 carmeloanthony 2783 300 9368454 37
195 SarahKSilverman 11342 1110 12673272 12782
196 shahidkapoor 6887 103 12982781 616
197 Tyga 11435 4449 6954511 1486
198 ChespiritoRGB 3036 22 6753498 53
199 snooki 32479 429 6953083 185
200 cuervotinelli 51285 353 10199898 11629
201 143redangel 9927 504 10291415 603
202 IAMQUEENLATIFAH 5100 701 8225588 550
203 ZooeyDeschanel 3866 596 6688416 6
204 simonpegg 15911 -1 -1 -1
205 RaffiAhmadLagi 15126 296 8942695 1301
206 NeYoCompound 15055 7812 7164692 959
207 CalvinHarris 714 3532 13257625 4812
208 richardbranson 19610 3839 12347730 -1
209 ciara 10150 55 10780212 371
210 SteveMartinToGo 7183 242 8786767 25
211 ollyofficial 19918 2997 7846289 4694
212 DaniAlvesD2 6530 395 8600156 119
213 KELLYROWLAND 12133 1711 7259184 432
214 Fearnecotton 19992 578 7481780 2132
215 rioferdy5 18327 566 10232207 1228
216 FloydMayweather 7613 517 8088813 779
217 Luke5SOS 8835 21626 10615863 366
218 shireensungkar 10607 712 7034720 33
219 jedarcantik 24 -1 -1 -1
220 andersoncooper 18245 273 10071139 14
221 MTLovenHoney 33797 62 836 -1
222 FabioPorchat 8494 935 8017059 476
223 FarOutAkhtar 6910 271 11279352 2964
224 jennettemccurdy 11 40147 6265975 3255
225 gusttavo_lima 16723 1111 9718985 467
226 bellathorne 76830 7908 6983509 20216
227 pittyleone 903 1 2206 25
228 hollywills 6260 281 7516455 124
229 JuanLuisGuerra 1151 62 7809440 169
230 Tip 18501 708 8473412 1224
231 PerezHilton 297422 579 6587301 126931
232 DwightHoward 23420 7655 7141872 1022
233 CHAYANNEMUSIC 4404 965 9478271 898
234 Ricardo_Arjona 3581 36 10210834 46
235 aliaa08 4451 240 16568382 95
236 vicegandako 21357 559 10654473 84
237 Zendaya 58328 1754 13022733 29677
238 DulceMaria 29101 839 7316785 17404
239 oceara 7557 278 6311208 17
240 iansomerhalder 9679 725 7591758 97
241 KrisJenner 11677 264 9592637 41
242 jimmykimmel 5255 596 11243327 7364
243 RealHughJackman 3212 14 12419026 862
244 luansantana 11475 2704 9964650 1546
245 IGGYAZALEA 47579 6666 8068982 3994
246 GalileaMontijo 22419 1342 7399498 202
247 AnushkaSharma 3849 129 15791804 355
248 robkardashian 896 354 7575202 80
249 Akon 767 48 6518773 579
250 jason_mraz 3607 39 6118525 243
251 ninadobrev 7057 143 7677244 713
252 OMARCHAPARRO 26663 1416 6940904 4734
253 SergioRamos 3526 725 14280581 40
254 rodrigovesgo 10789 1752 5958179 1168
255 LanaDelRey 145 1293 8764360 655
256 sonakshisinha 12441 62 12952836 877
257 Mascherano 1017 232 7839580 29
258 chetan_bhagat 13449 155 11904497 1900
259 Calum5SOS 14362 16118 7328482 1302
260 CH14_ 1912 508 8816429 4349
261 jk_rowling 9834 574 14287251 19472
262 official_flo 23734 2342 5566844 6008
263 chelseahandler 7913 292 8710921 1576
264 atademirer 1655 113 6890709 512
265 ScottDisick 2463 23 6929247 12
266 CherylOfficial 6518 950 6421192 122
267 officialjaden 4588 124 7534167 1176
268 LuisSuarez9 996 57 13914161 -1
269 ParineetiChopra 6930 250 11645345 24
270 RobertDowneyJr 516 63 10324978 1296
271 G_Higuain 371 228 6727022 52
272 jimmycarr 3605 321 6970340 4
273 TomCruise 11071 55177 6724473 3375
274 kendricklamar 4253 515 10372109 4
275 serenawilliams 14047 351 10700483 297
276 Residente 28500 1637 5991861 1599
277 adamlevine 5804 14896 8819275 127
278 CarlosLoret 69874 1298 7887414 2171
279 JeremyClarkson 5800 179 7204271 260
280 ahickmann 25042 177 6313067 46
281 Talhabeeb 37285 54 6814310 21
282 VanessaHudgens 4508 145 7455428 238
283 TareqAlSuwaidan 20513 11 9849997 74
284 JKCorden 11140 2189 10252442 122
285 Michael5SOS 12000 15104 10350691 169
286 elliegoulding 19031 571 7344476 35
287 camerondallas 37346 12394 16305788 36997
288 lopezdoriga 209777 1364 7864595 833
289 DrBassemYoussef -1 -1 -1 -1
290 thekiranbedi 28750 278 11481538 5450
291 raisa6690 25766 452 8334072 74
292 lilyallen 29558 2214 5928546 4425
293 AnupamPkher 34564 130 12179097 5213
294 MichelleObama 847 15 10391890 3
295 maryjblige 7108 329 6266258 261
296 oserginho 7416 525 6277212 8
297 justdemi 5186 336 5220416 800
298 bernardokath 6265 601 8152559 55
299 SamuelLJackson 3172 864 7356506 200
300 NicoleScherzy 6077 339 5793503 1113
301 bep 2721 45930 5254526 501
302 Ahlam_Alshamsi -1 -1 -1 -1
303 okanbayulgen 5152 4954 6879722 7
304 INDONESIAinLOVE 55827 8 5319411 6558
305 amrkhaled 11989 7 10714932 1123
306 MeekMill 34216 1481 6761650 178
307 antanddec 14067 665 6799010 332
308 CasillasWorld 1 -1 -1 -1
309 RitaOra 11749 1739 6862195 9965
310 lulopilato 7216 108 6177644 62
311 Fiuk 18951 559 5424857 8772
312 NickCannon 22766 5496 5236432 247
313 bepe20s 104 8 417 -1
314 SandyLeah 5272 116 6053129 41
315 mirandalambert 3772 250 7300487 536
316 Angelluisr 8787 59494 4993578 5017
317 Nashgrier 32584 67080 7318999 44018
318 bclsinclair 9748 157 5939904 60
319 RedHourBen 4494 432 6063806 7840
320 DemetAkalin 84293 649 6574327 9104
321 YengPLUGGEDin 40608 976 7286316 2538
322 mindykaling 16935 833 11815526 20151
323 LukeBryanOnline 4392 11576 9806554 1304
324 siwon407 -1 -1 -1 -1
325 MacMiller 31762 1274 8647752 2885
326 D_DeGea 1883 193 10692875 394
327 juanmata8 2658 579 7555192 463
328 TigerWoods 747 24 6379121 14
329 MikeTyson 6428 364 5461780 485
330 LennyKravitz 2116 1826 5329844 21
331 kevinjonas 8630 1775 5323538 2065
332 JonahHill 21 -1 -1 -1
333 DwyaneWade 10816 650 7878808 107
334 nicolerichie 4369 12925 5059813 298
335 linkinpark 6220 129 6472726 1656
336 HilaryDuff 4371 212 5259192 3
337 ImRaina 2706 244 13571124 7486
338 RNTata2000 136 41 6961628 10
339 ariyoshihiroiki 17239 227 7080541 1
340 IBGDRGN 4840 10 9380503 366
341 AnnaKendrick47 2258 320 7097962 1108
342 AlanCarr 16167 718 5265377 680
343 sectorkekz 13098 469 4821867 89
344 wossy 24741 8519 5405174 423
345 lucyhale 17285 450 7823138 820
346 bridgitmendler 9325 755 4826431 2193
347 donghae861015 2059 107 5071855 5
348 JohnCleese 5254 195 5747252 417
349 souljaboy 117763 602 5629934 18441
350 PrinceRoyce 14516 328 7275633 869
351 TiagoLeifert 29457 325 6621513 134
352 carrieunderwood 4160 406 8368361 1585
353 jesseyjoy 30236 1025 5392708 1060
354 yokoono 11388 930844 5044517 126
355 olla_ramlan 27622 420 5049605 89
356 DjokerNole 2478 733 8290516 613
357 gabyespino 34659 1192 5304501 602
358 Bellaudyaa 19359 964 5788579 180
359 tyleroakley 51406 609 6546497 246811
360 johngreen 33523 802 5415908 13194
361 BillSimmons 23244 541 6073428 8
362 DiegoForlan7 1337 163 5462410 3
363 llcoolj 28636 1640 5352569 2531
364 facufacundo 20948 642 5455222 1044
365 msleamichele -1 -1 -1 -1
366 iamsuperbianca 51418 660 7073413 18239
367 msdhoni 447 34 6954861 3
368 piersmorgan 112939 1658 6446378 9
369 Skrillex 14108 1177 6714376 3515
370 virendersehwag 10617 139 16294456 3847
371 jorgeemateus 15388 159 6747950 1206
372 gitagut 8829 250 4931115 3
373 Lord_Sugar 45480 2330 5465137 144
374 MonsieurDream 13854 565 8221795 6
375 CP3 5799 865 7550731 171
376 iamjamiefoxx 2663 183 4841187 544
377 IrfanBachdim10 3552 166 5012072 197
378 kc_concepcion 13 2 542 -1
379 imdanielpadilla 2984 760 7027132 46
380 gadelmaleh 5266 1198 7944406 2812
381 MarceloM12 1855 381 10102185 404
382 micheltelo 165233 655 5749352 2765
383 SalehAlmoghamsy 10143 -1 -1 -1
384 luckymanzano 50798 229 5861489 48
385 yelyahwilliams 37026 668 5437852 31177
386 DONOMAR 44282 5005 4983501 7991
387 SteveCarell 134 58 5357323 1
388 neiltyson 5741 43 12093718 -1
389 wisinyyandel 9640 67 4787558 3693
390 NoelSchajris 57590 1541 4804813 793
391 RevRunWisdom 19549 -1 -1 -1
392 SandraDewi88 37815 473 6696547 6
393 amrdiab 2712 3 8847691 6
394 ShawnMendes 14058 59753 18095558 6460
395 syntekoficial 19795 2430 4894257 10686
396 AdelAliBinAli 44540 457 6309538 18824
397 felipeneto 2078 592 8022044 930
398 polo_polo 6004 44 4943425 268
399 GloriaTrevi 53824 1951 4997673 311
400 TheVijayMallya 11527 221 6029781 173
401 Ashton5SOS 10568 9422 6388824 2355
402 Wale 1263 2564 5785714 2225
403 ChinoyNacho 20571 200 4822268 303
404 Riteishd 19639 277 8936962 674
405 RealLamarOdom 48 37 4289989 -1
406 PretaGil 84541 927 5178186 4761
407 TomCavalcante1 18995 359 4839219 2022
408 RandyOrton 3316 204 5893412 219
409 DjKingAssassin 82405 1586875 1415387 23212
410 gadiiing 54833 743 4755880 19
411 DJPaulyD 21249 27127 4539944 2766
412 LuceroMexico 34983 50 8796633 81
413 paulitachaves 26695 332 5778271 632
414 KevinSpacey 2092 49 4902135 15
415 OzzyOsbourne 3977 75 5511012 663
416 AdamSchefter 39806 2774 7204512 301
417 GaryLineker 26044 931 6946674 848
418 VhongX44 3373 190 5853601 1165
419 _CristineReyes_ -1 -1 -1 -1
420 JordinSparks 45472 5556 4178767 812
421 juliaperrez 89566 1535 5275506 986
422 rainnwilson 19164 511 4540914 1937
423 silagencoglu 1778 180 5807771 23
424 QueenRania 1916 40 10307451 -1
425 hulyavsar 4652 49 4287477 34
426 najwakaram 21886 108 7631526 20992
427 1victorvaldes -1 -1 -1 -1
428 DebbouzeJamel 5366 493 7435862 5183
429 montesjulia 7310 269 5085732 719
430 hazardeden10 1590 227 5280241 9
431 ajaydevgn 2295 55 9093815 -1
432 indrabektiasli 55884 6183 4360849 1055
433 MirandaKerr 3349 674 5591736 6
434 fayez_malki 4770 768 6540562 207
435 angelicaksy 6595 157 4763387 18
436 GaryBarlow 13272 4143 4482110 52
437 TheShilpaShetty 5245 136 5646174 52
438 aristeguicnn 2225 20 6621947 16
439 BillCosby 2310 6 3887342 1405
440 tonyhawk 11778 10746 4119645 310
441 noaheverett 7433 1325 3909350 -1
442 AndreaLegarreta 19747 1115 5543619 1150
443 tylerperry 2042 99 5507049 1
444 julietav 13312 568 4514322 6759
445 bipsluvurself 10438 161 6106414 44
446 psy_oppa 4674 675 4660012 16
447 Caradelevingne 7447 1041 10357296 33
448 galifianakisz 106 -1 -1 -1
449 Nelly_Mo 11009 1448 4193696 504
450 DebbyRyan 22718 387 4168075 82493
451 KellyOsbourne 15854 2160 3982441 193
452 YordiRosado 25634 1006 4318956 13170
453 eddieizzard 8087 618 4766739 34
454 KapilSharmaK9 7465 216 11832991 206
455 cuneytozdemir 33827 938 6562062 -1
456 JoelOsteen 16835 166 8220698 210
457 dylanobrien 923 1906 4961046 361
458 diegotorres 9128 181 4714856 996
459 KeriHilson 12684 410 4519497 125
460 yilmazerdogan 687 41 4297356 17
461 realpreityzinta 18590 90 4261911 516
462 rogerfederer 1572 81 12106624 581
463 lordemusic -1 -1 -1 -1
464 GreenDay 1960 183 5424488 332
465 PochoLavezzi 2946 282 5173884 394
466 carlosvives 21919 1776 5001974 3416
467 jackwhitehall 9141 689 5982045 118
468 alyankovic 3751 566 5296440 3561
469 alexoficial 7068 214 6755571 823
470 Jenna_Marbles 14063 77782 5012220 26039
471 MaiteOficial 10207 781 4615065 207
472 shreyaghoshal 21326 636 6379045 1460
473 LAURAGII 91561 1136 4676539 14123
474 raghebalama 25463 448 6065554 6880
475 wyclef 32442 6069 4311064 5943
476 Alwaleed_Talal 283 33 9277986 -1
477 scooterbraun 29253 2838 4152019 2142
478 Adela_Micha 60266 416 4680028 71
479 tiesto 31663 687 5213530 2988
480 paramore 5400 3 5913755 1034
481 apriliokevin 27792 42 4099891 545
482 AshBenzo 22578 182 4847197 473
483 urgantcom 1067 3 5300467 2
484 NormanDesVideos 5437 906 7279931 3682
485 iyavillania 25735 704 4423345 119
486 usainbolt 4860 88 5103074 39
487 lancearmstrong 12991 605 3754878 833
488 paulwesley 1787 976 4366072 2970
489 LuisChataing 76390 177 4632138 11
490 aarbeloa17 5071 1097 5750905 1329
491 paulpierce34 1535 200 4554627 129
492 hitRECordJoe 18522 148 4315866 326
493 HamzaNamira 6143 106 6322369 7
494 MadhuriDixit 6002 34 6370857 74
495 IAMJHUD 15249 668 4089045 93
496 mcuban 2873 1492 7786148 277
497 DrOz 9419 271 4329677 27
498 belindapop 8009 2069 5369672 65
499 JoyceMeyer 23114 110 5900973 9459
500 ValeYellow46 4011 305 5589090 1289
